symbol,shortName,exchange,sector,industry,eodprice,regularMarketPrice,pct_1w,pct_1m,rel_volume,revenueGrowth,earningsQuarterlyGrowth,pegRatio,trailingPE,score_raw,score_norm,rank,pct_1w_n,pct_1m_n,rel_volume_n,revenueGrowth_n,earningsQuarterlyGrowth_n,rec_n,insider_n,valuation_n
OTEX,Open Text Corporation,NMS,Technology,Software - Application,25.38,24.91,7.6422,7.0842,0.9732,0.0220,0.8600,1.0200,12.0340,0.371711,0.245358,56,0.559364,0.196444,0.159713,0.367862,0.133831,0.500000,0.500000,0.941526
S,"SentinelOne, Inc.",NYQ,Technology,Software - Infrastructure,17.81,17.685,-3.4262,11.1218,0.9629,0.2080,,,,0.370186,0.242331,57,0.423917,0.216220,0.156972,0.450199,0.500000,0.500000,0.500000,0.500000
SCSC,"ScanSource, Inc.",NMS,Technology,Electronics & Computer Distribution,48.13,48.085,5.8798,16.5011,0.9695,0.0880,-0.0310,0.7300,14.6140,0.369895,0.241753,58,0.537797,0.242568,0.158728,0.397078,0.059950,0.500000,0.500000,0.939858
TOST,"Toast, Inc.",NYQ,Technology,Software - Infrastructure,27.74,26.365,7.5918,-10.3706,0.8719,0.2190,1.2500,0.2300,39.3433,0.363774,0.229604,59,0.558747,0.110952,0.132757,0.455069,0.166169,0.500000,0.500000,0.873840
JKS,JinkoSolar Holding Company Limi,NYQ,Technology,Solar,21.85,22.22,0.0881,-5.9213,0.9654,-0.1150,,0.1400,,0.357555,0.217259,60,0.466923,0.132744,0.157637,0.307216,0.500000,0.500000,0.500000,0.747057
SONY,Sony Group Corporation,NYQ,Technology,Consumer Electronics,22.57,22.805,4.1629,15.9369,0.8339,0.1540,-0.5810,1.9500,21.0833,0.355640,0.213457,61,0.516787,0.239804,0.122645,0.426295,0.014345,0.500000,0.500000,0.892944
STNE,StoneCo Ltd.,NMS,Technology,Software - Infrastructure,11.69,11.1761,-0.9692,3.6900,0.8803,0.0430,2.3170,0.0176,4.0873,0.350103,0.202466,62,0.453984,0.179820,0.134992,0.377158,0.254643,0.500000,0.500000,0.988265
RELY,"Remitly Global, Inc.",NMS,Technology,Software - Infrastructure,21.03,20.355,-0.2485,-15.6013,0.8360,0.2520,3.3210,0.1259,41.8125,0.349629,0.201525,63,0.462804,0.085332,0.123204,0.469677,0.337894,0.500000,0.500000,0.868437
PAY,"Paymentus Holdings, Inc.",NYQ,Technology,Software - Infrastructure,24.26,22.3,-4.1649,-22.0126,1.8142,0.3020,0.5120,0.7648,39.1579,0.348794,0.199867,64,0.414878,0.053930,0.383502,0.491811,0.104975,0.500000,0.500000,0.862681
LYTS,LSI Industries Inc.,NMS,Technology,Electronic Components,24.1,24.055,-2.6273,3.5238,1.4877,0.1360,-0.4610,0.4000,32.5541,0.347514,0.197328,65,0.433694,0.179006,0.296621,0.418327,0.024295,0.500000,0.500000,0.891246
NIQ,NIQ Global Intelligence plc,NYQ,,,8.91,8.485,-0.1185,-19.4842,0.5386,,,,,0.343577,0.189511,66,0.464394,0.066314,0.044066,0.500000,0.500000,0.500000,0.500000,0.500000
RDWR,Radware Ltd.,NMS,Technology,Software - Infrastructure,31.69,31.54,8.7556,15.8649,0.5190,0.1070,-0.1840,22.7900,71.7045,0.341091,0.184577,67,0.572989,0.239452,0.038850,0.405489,0.047264,0.500000,0.500000,0.278007
VIAV,Viavi Solutions Inc.,NMS,Technology,Communication Equipment,47.49,52.0,-0.3392,0.7430,0.9632,0.4280,-0.6720,1.3400,,0.340614,0.183629,68,0.461694,0.165386,0.157052,0.547587,0.006799,0.500000,0.500000,0.720723
PEGA,Pegasystems Inc.,NMS,Technology,Software - Application,37.93,36.21,8.4741,-0.4893,0.6676,-0.0960,-0.6160,4.1100,19.7892,0.334421,0.171337,69,0.569544,0.159350,0.078393,0.315626,0.011443,0.500000,0.500000,0.849571
TASK,"TaskUs, Inc.",NMS,Technology,Information Technology Services,6.6,6.44,4.1868,0.9360,0.4560,0.1030,0.1510,0.3792,5.7257,0.333242,0.168997,70,0.517080,0.166331,0.022086,0.403718,0.075041,0.500000,0.500000,0.975228
PAGS,PagSeguro Digital Ltd.,NYQ,Technology,Software - Infrastructure,9.43,9.21,-0.5394,-5.4359,0.9873,0.0150,0.0390,1.6304,6.3586,0.326151,0.154921,71,0.459244,0.135122,0.163465,0.364763,0.065755,0.500000,0.500000,0.945800
KD,"Kyndryl Holdings, Inc.",NYQ,Technology,Information Technology Services,12.89,12.655,7.0518,-12.4392,0.8356,-0.0080,-0.7540,,14.8235,0.324914,0.152465,72,0.552139,0.100820,0.123097,0.354582,0.000000,0.500000,0.500000,0.705096
UPBD,"Upbound Group, Inc.",NMS,Technology,Software - Application,19.06,18.7,-1.4823,0.7035,0.7970,0.0370,0.4440,1.3900,12.9236,0.324809,0.152257,73,0.447705,0.165192,0.112826,0.374502,0.099337,0.500000,0.500000,0.930637
PSFE,Paysafe Limited,NYQ,Technology,Software - Infrastructure,8.07,7.61,-4.3646,-18.0418,0.5572,0.1040,,,,0.319541,0.141801,74,0.412434,0.073379,0.049015,0.404161,0.500000,0.500000,0.500000,0.500000
NATL,NCR Atleos Corporation,NYQ,Technology,Software - Application,44.47,44.365,-1.6851,0.6812,0.3986,0.0650,0.5710,0.3467,19.7946,0.310778,0.124405,75,0.445224,0.165083,0.006812,0.386897,0.109867,0.500000,0.500000,0.932141
PAYP,PayPay Corporation - American D,NMS,Technology,Software - Infrastructure,18.61,18.49,-3.2091,-11.7092,0.3730,0.2910,0.3950,1.8900,16.6964,0.303430,0.109819,76,0.426574,0.104396,0.000000,0.486941,0.095274,0.500000,0.500000,0.907918
VNT,Vontier Corporation,NYQ,Technology,Scientific & Technical Instruments,28.46,28.34,-2.7721,-18.3386,0.8811,0.0130,0.0730,0.8500,10.0389,0.303232,0.109427,77,0.431922,0.071925,0.135205,0.363878,0.068574,0.500000,0.500000,0.951468
WSE,Wise Group plc,NMS,Technology,Information Technology Services,12.1,11.76,-9.4902,-25.0649,1.5548,0.0920,-0.1390,4.9600,23.0800,0.299688,0.102393,78,0.349710,0.038980,0.314476,0.398849,0.050995,0.500000,0.500000,0.820672
TSAT,Telesat Corporation,NMS,Technology,Communication Equipment,49.71,50.09,-12.5567,3.1263,0.7248,-0.2540,,,,0.297806,0.098657,79,0.312185,0.177059,0.093614,0.245684,0.500000,0.500000,0.500000,0.500000
YALA,Yalla Group Limited,NYQ,Technology,Software - Application,5.8,5.66,-7.0840,-15.9464,0.7575,-0.0580,-0.2200,0.5900,7.1392,0.279874,0.063061,80,0.379156,0.083642,0.102315,0.332448,0.044279,0.500000,0.500000,0.966202
PLAB,"Photronics, Inc.",NMS,Technology,Semiconductor Equipment & Materials,31.87,32.87,-38.0677,-33.0234,2.3989,-0.0050,2.5470,2.6400,12.2288,0.248105,0.000000,81,0.000000,0.000000,0.539090,0.355910,0.273715,0.500000,0.500000,0.905369
