symbol,shortName,exchange,sector,industry,eodprice,regularMarketPrice,pct_1w,pct_1m,rel_volume,revenueGrowth,earningsQuarterlyGrowth,pegRatio,trailingPE,score_raw,score_norm,rank,pct_1w_n,pct_1m_n,rel_volume_n,revenueGrowth_n,earningsQuarterlyGrowth_n,rec_n,insider_n,valuation_n
ZM,"Zoom Communications, Inc.",NMS,Technology,Software - Application,111.88,106.2,5.7137,-0.4033,0.6785,0.0550,0.6720,4.2100,15.6637,0.319245,0.182747,113,0.494133,0.208891,0.082526,0.260319,0.024681,0.500000,0.500000,0.906738
PAYX,"Paychex, Inc.",NMS,Technology,Software - Application,100.79,98.45,3.0782,7.8247,0.6622,0.1990,0.0790,1.7700,21.7329,0.317652,0.179870,114,0.443548,0.249674,0.078078,0.303706,0.015658,0.500000,0.500000,0.959835
RAL,Ralliant Corporation,NYQ,Technology,Electronic Components,61.99,62.66,0.5133,37.5631,0.7630,0.1100,-0.3080,,,0.316924,0.178556,115,0.394318,0.397075,0.105586,0.276891,0.009769,0.500000,0.500000,0.500000
SAP,SAP  SE,NYQ,Technology,Software - Application,190.82,180.67,2.9693,7.2283,0.7694,0.0600,0.0850,1.5700,24.8857,0.316031,0.176942,116,0.441458,0.246718,0.107333,0.261826,0.015749,0.500000,0.500000,0.963980
SONY,Sony Group Corporation,NYQ,Technology,Consumer Electronics,22.79,22.2,2.2100,13.0346,0.6798,0.1540,-0.5810,2.0600,20.7477,0.315535,0.176046,117,0.426884,0.275497,0.082881,0.290148,0.005615,0.500000,0.500000,0.953545
NICE,NICE Ltd,NMS,Technology,Software - Application,97.05,94.91,4.7109,-23.5768,1.1433,0.0980,-0.6380,0.7300,11.2586,0.314072,0.173403,118,0.474886,0.094030,0.209372,0.273275,0.004747,0.500000,0.500000,0.983488
PSN,Parsons Corporation,NYQ,Technology,Information Technology Services,60.84,59.95,1.9038,19.8521,0.8316,-0.0410,-0.2010,,28.6842,0.313541,0.172445,119,0.421007,0.309289,0.124308,0.231395,0.011397,0.500000,0.500000,0.747787
PSFE,Paysafe Limited,NYQ,Technology,Software - Infrastructure,7.45,7.23,-5.4902,-20.4620,1.5230,0.1040,,,,0.312808,0.171122,120,0.279089,0.109468,0.312993,0.275083,0.500000,0.500000,0.500000,0.500000
U,Unity Software Inc.,NYQ,Technology,Software - Application,30.77,29.22,-2.4048,5.4113,0.4881,0.1680,,,,0.312423,0.170427,121,0.338309,0.237712,0.030565,0.294366,0.500000,0.500000,0.500000,0.500000
QBTS,D-Wave Quantum Inc.,NYQ,Technology,Computer Hardware,29.91,27.55,-6.5785,31.6922,1.2913,-0.8090,,,,0.310996,0.167849,122,0.258200,0.367976,0.249761,0.000000,0.500000,0.500000,0.500000,0.500000
