symbol,shortName,exchange,sector,industry,eodprice,regularMarketPrice,pct_1w,pct_1m,rel_volume,revenueGrowth,earningsQuarterlyGrowth,pegRatio,trailingPE,score_raw,score_norm,rank,pct_1w_n,pct_1m_n,rel_volume_n,revenueGrowth_n,earningsQuarterlyGrowth_n,rec_n,insider_n,valuation_n,kept,dropped_due_to
SNN,"Smith & Nephew SNATS, Inc.",NYQ,Healthcare,Medical Devices,30.85,30.76,4.3759,-1.7247,1.0566,0.074,0.677,1.21,21.5175,0.36958,0.445653,20,0.512867,0.135934,0.642202,0.038407,0.009107,0.5,0.5,0.988635,True,
ZBIO,"Zenas BioPharma, Inc.",NMS,Healthcare,Biotechnology,18.38,18.47,1.596,-11.079,0.329,,,,,0.368948,0.44393,21,0.46198,0.095866,0.182249,0.5,0.5,0.5,0.5,0.5,True,
TLX,Telix Pharmaceuticals Limited,NMS,Healthcare,Biotechnology,9.54,9.36,-0.6369,-15.2174,1.033,0.493,,,,0.367542,0.4401,22,0.421107,0.07814,0.627284,0.053956,0.5,0.5,0.5,0.5,True,
MDT,Medtronic plc.,NYQ,Healthcare,Medical Devices,81.93,81.78,10.6245,5.2063,0.6389,0.099,0.177,1.29,21.941,0.367159,0.439056,23,0.627247,0.165622,0.378153,0.039335,0.006314,0.5,0.5,0.988114,True,
MBX,"MBX Biosciences, Inc.",NMS,Healthcare,Biotechnology,30.91,30.295,-1.1582,2.348,0.3442,,,,,0.366625,0.4376,24,0.411565,0.153379,0.191858,0.5,0.5,0.5,0.5,0.5,True,
SVRA,"Savara, Inc.",NMS,Healthcare,Biotechnology,5.3,5.165,0.1961,-1.7124,0.2938,,,,,0.365657,0.434961,25,0.436355,0.135987,0.159997,0.5,0.5,0.5,0.5,0.5,True,
LAB,Standard BioTools Inc.,NMS,Healthcare,Medical Devices,1.27,1.155,0.0,17.3469,0.7347,0.046,,,,0.365638,0.43491,26,0.432766,0.217625,0.438713,0.037368,0.5,0.5,0.5,0.5,True,
LLY,Eli Lilly and Company,NYQ,Healthcare,Drug Manufacturers - General,1125.27,1150.14,6.102,16.3158,0.7356,0.555,1.681,1.45,40.8189,0.364434,0.431628,27,0.544463,0.213209,0.439282,0.056256,0.014717,0.5,0.5,0.983069,True,
TYRA,"Tyra Biosciences, Inc.",NMS,Healthcare,Biotechnology,27.18,27.175,-10.5791,-19.9086,0.981,,,,,0.361562,0.423801,28,0.239115,0.058046,0.594412,0.5,0.5,0.5,0.5,0.5,True,
OFIX,Orthofix Medical Inc.,NMS,Healthcare,Medical Devices,10.34,10.465,12.891,-15.8762,0.2672,0.016,,48.83,,0.361303,0.423095,29,0.668736,0.075318,0.143182,0.036255,0.5,0.5,0.5,0.489066,True,
NVCR,NovoCure Limited,NMS,Healthcare,Medical Devices,17.99,17.66,6.6425,11.2091,0.3499,0.123,,,,0.358806,0.416291,30,0.554357,0.191335,0.195461,0.040226,0.5,0.5,0.5,0.5,True,
NUVL,"Nuvalent, Inc.",NMS,Healthcare,Biotechnology,94.02,92.11,-1.1639,-9.4043,0.3378,,,,,0.356928,0.411171,31,0.41146,0.10304,0.187812,0.5,0.5,0.5,0.5,0.5,True,
TAK,Takeda Pharmaceutical Company L,NYQ,Healthcare,Drug Manufacturers - Specialty & Generic,15.45,15.61,2.7979,-5.6495,0.5176,0.039,,0.38,42.2027,0.356285,0.409419,32,0.483981,0.119123,0.301473,0.037109,0.5,0.5,0.5,0.988469,True,
MRNA,"Moderna, Inc.",NMS,Healthcare,Biotechnology,51.59,47.985,4.0599,2.6119,0.3977,2.602,,,,0.354513,0.404588,33,0.507082,0.15451,0.225678,0.132218,0.5,0.5,0.5,0.5,True,
